ROLL NUMBER,TEACHER,SUBJECT,FEEDBACK_TEXT,teaching,coursecontent,examination,labwork,library_facilities,extracurricular
1010,Dr. Mehta,Physics,Loved the cultural and sports events.,0,0,0,0,0,1
1011,Mrs. Das,Economics,Continuous assessment was beneficial. The syllabus was well-structured. We had hands-on experience every week. There were lots of workshops and events.,0,1,1,1,0,1
1012,Dr. Verma,English,Lab work was poorly managed.,0,0,0,1,0,0
1013,Dr. Mehta,Physics,Good teaching methods and examples. There were lots of workshops and events. Lab work was poorly managed.,1,0,0,1,0,1
1014,Ms. Joshi,Mathematics,Lab work was poorly managed. The teacher was very supportive and helpful. The learning resources were very helpful.,1,1,0,1,0,0
1015,Mr. Sharma,Chemistry,The questions in the exam were tricky. Good teaching methods and examples. Library had enough resources.,1,0,1,0,1,0
1016,Dr. Mehta,Physics,Loved the cultural and sports events. Exam patterns were predictable and easy. Lab sessions helped reinforce theory.,0,0,1,1,0,1
1017,Ms. Joshi,History,The course covered all essential topics.,0,1,0,0,0,0
1018,Prof. Khan,Economics,Loved the cultural and sports events. The learning resources were very helpful. Exam patterns were predictable and easy.,0,1,1,0,0,1
1019,Mr. Sharma,Economics,Exam patterns were predictable and easy. The course covered all essential topics.,0,1,1,0,0,0
1020,Mr. Sharma,Economics,The learning resources were very helpful. Not many extracurricular activities were encouraged. The teacher explains very clearly. Lab work was poorly managed.,1,1,0,1,0,1
1021,Mr. Sharma,Biology,Lab work was poorly managed. The syllabus was well-structured. Good teaching methods and examples. Exam patterns were predictable and easy.,1,1,1,1,0,0
1022,Mr. Sharma,Economics,The syllabus was well-structured. The teacher encouraged student interaction. Exam patterns were predictable and easy.,1,1,1,0,0,0
1023,Mr. Iyer,History,Student clubs were very active.,0,0,0,0,0,1
1024,Dr. Mehta,English,The syllabus was well-structured. Library had enough resources. The teacher explains very clearly.,1,1,0,0,1,0
1025,Dr. Verma,English,Evaluation was not up to the mark. The course covered all essential topics.,0,1,1,0,0,0
1026,Ms. Joshi,English,Exam patterns were predictable and easy. New books were regularly added. Lab sessions helped reinforce theory.,0,0,1,1,1,0
1027,Dr. Verma,Economics,Loved the cultural and sports events. Evaluation was not up to the mark. The teacher was very supportive and helpful. Content was outdated.,1,1,1,0,0,1
1028,Mr. Iyer,Chemistry,Course material was relevant and engaging. Student clubs were very active. Evaluation was not up to the mark.,0,1,1,0,0,1
1029,Mr. Sharma,History,The course covered all essential topics. Exam patterns were predictable and easy. Lab work was poorly managed.,0,1,1,1,0,0
1030,Mr. Sharma,Economics,Course material was relevant and engaging. New books were regularly added. Exam patterns were predictable and easy. The teacher encouraged student interaction.,1,1,1,0,1,0
1031,Mr. Sharma,Mathematics,Lab work was poorly managed. The questions in the exam were tricky. Good teaching methods and examples.,1,0,1,1,0,0
1032,Mrs. Das,History,Good teaching methods and examples.,1,0,0,0,0,0
1033,Dr. Mehta,Mathematics,Loved the cultural and sports events. Continuous assessment was beneficial. Library had enough resources.,0,0,1,0,1,1
1034,Ms. Rani,Computer Science,Not many extracurricular activities were encouraged.,0,0,0,0,0,1
1035,Ms. Rani,Economics,The teacher was very supportive and helpful. There were lots of workshops and events. We had hands-on experience every week.,1,0,0,1,0,1
1036,Dr. Mehta,Economics,There were lots of workshops and events. The learning resources were very helpful.,0,1,0,0,0,1
1037,Prof. Khan,Computer Science,Labs were well-equipped and interesting. Student clubs were very active. Exams were fair and well-balanced. The learning resources were very helpful.,0,1,1,1,0,1
1038,Dr. Mehta,Biology,Lab assistants were very helpful.,0,0,0,1,0,0
1039,Ms. Joshi,Computer Science,Content was outdated. The teacher was very supportive and helpful. Labs were well-equipped and interesting.,1,1,0,1,0,0
1040,Mr. Iyer,Physics,Loved the cultural and sports events. The teacher was very supportive and helpful. Exams were fair and well-balanced. We had hands-on experience every week.,1,0,1,1,0,1
1041,Mr. Iyer,Computer Science,Content was outdated.,0,1,0,0,0,0
1042,Ms. Rani,Economics,The learning resources were very helpful. We faced issues in accessing the digital library.,0,1,0,0,1,0
1043,Ms. Joshi,Physics,Library had enough resources.,0,0,0,0,1,0
1044,Dr. Verma,Mathematics,The teacher was very supportive and helpful. The reading space in the library is great. Not many extracurricular activities were encouraged. Exam patterns were predictable and easy.,1,0,1,0,1,1
1045,Prof. Khan,Computer Science,Course material was relevant and engaging. The teacher was very supportive and helpful.,1,1,0,0,0,0
1046,Ms. Joshi,Computer Science,Lab assistants were very helpful. The questions in the exam were tricky.,0,0,1,1,0,0
1047,Mr. Sharma,Computer Science,Not many extracurricular activities were encouraged. The concepts were explained in a student-friendly way. Library had enough resources.,1,0,0,0,1,1
1048,Mr. Sharma,Physics,The teacher encouraged student interaction. Library had enough resources.,1,0,0,0,1,0
1049,Dr. Mehta,Physics,Content was outdated. Lab assistants were very helpful. Continuous assessment was beneficial.,0,1,1,1,0,0
1050,Ms. Joshi,Economics,The teacher was very supportive and helpful. Great support for extracurriculars. Continuous assessment was beneficial. Library had enough resources.,1,0,1,0,1,1
1051,Mr. Sharma,Physics,Lab work was poorly managed. Not many extracurricular activities were encouraged. Library had enough resources.,0,0,0,1,1,1
1052,Prof. Khan,History,The concepts were explained in a student-friendly way. We faced issues in accessing the digital library. The learning resources were very helpful.,1,1,0,0,1,0
1053,Prof. Khan,Economics,Student clubs were very active. Content was outdated. Labs were well-equipped and interesting.,0,1,0,1,0,1
1054,Mrs. Das,Economics,Course material was relevant and engaging. Lab sessions helped reinforce theory. There were lots of workshops and events.,0,1,0,1,0,1
1055,Prof. Khan,Chemistry,The course covered all essential topics. Loved the cultural and sports events. The questions in the exam were tricky.,0,1,1,0,0,1
1056,Dr. Verma,Biology,Content was outdated. Exams were fair and well-balanced. Lab sessions helped reinforce theory.,0,1,1,1,0,0
1057,Dr. Mehta,Economics,Lab sessions helped reinforce theory. Exam patterns were predictable and easy.,0,0,1,1,0,0
1058,Mr. Sharma,Computer Science,The learning resources were very helpful. Evaluation was not up to the mark. Labs were well-equipped and interesting. Student clubs were very active.,0,1,1,1,0,1
1059,Dr. Verma,History,The questions in the exam were tricky. Course material was relevant and engaging. We had hands-on experience every week. The reading space in the library is great.,0,1,1,1,1,0
1060,Dr. Verma,History,Exams were fair and well-balanced. Student clubs were very active.,0,0,1,0,0,1
1061,Dr. Mehta,History,Not many extracurricular activities were encouraged. Continuous assessment was beneficial. Lab work was poorly managed. The teacher encouraged student interaction.,1,0,1,1,0,1
1062,Dr. Verma,Mathematics,Evaluation was not up to the mark. The teacher explains very clearly. Library was not maintained properly. The learning resources were very helpful.,1,1,1,0,1,0
1063,Mr. Sharma,Computer Science,Evaluation was not up to the mark. We had hands-on experience every week. New books were regularly added.,0,0,1,1,1,0
1064,Prof. Khan,History,New books were regularly added.,0,0,0,0,1,0
1065,Mrs. Das,History,Loved the cultural and sports events. The concepts were explained in a student-friendly way. Lab sessions helped reinforce theory.,1,0,0,1,0,1
1066,Dr. Verma,Chemistry,The teacher was very supportive and helpful. The learning resources were very helpful. There were lots of workshops and events. Exams were fair and well-balanced.,1,1,1,0,0,1
1067,Ms. Rani,English,Exam patterns were predictable and easy. The teacher explains very clearly. Content was outdated. Lab assistants were very helpful.,1,1,1,1,0,0
1068,Ms. Rani,Mathematics,The reading space in the library is great. The teacher explains very clearly. Continuous assessment was beneficial. Not many extracurricular activities were encouraged.,1,0,1,0,1,1
1069,Prof. Khan,Economics,Exam patterns were predictable and easy. Loved the cultural and sports events.,0,0,1,0,0,1
1070,Mr. Sharma,Physics,Exam patterns were predictable and easy. Good teaching methods and examples.,1,0,1,0,0,0
1071,Mrs. Das,Chemistry,The course covered all essential topics. Loved the cultural and sports events. Evaluation was not up to the mark. Lab work was poorly managed.,0,1,1,1,0,1
1072,Dr. Mehta,Physics,Exam patterns were predictable and easy. New books were regularly added. Lab sessions helped reinforce theory. Student clubs were very active.,0,0,1,1,1,1
1073,Ms. Joshi,History,Loved the cultural and sports events. Library was not maintained properly. The teacher was very supportive and helpful. Exam patterns were predictable and easy.,1,0,1,0,1,1
1074,Mr. Sharma,Physics,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
1075,Ms. Joshi,English,The course covered all essential topics.,0,1,0,0,0,0
1076,Mrs. Das,English,The syllabus was well-structured.,0,1,0,0,0,0
1077,Dr. Mehta,History,Not many extracurricular activities were encouraged.,0,0,0,0,0,1
1078,Dr. Mehta,Computer Science,The teacher explains very clearly. Exam patterns were predictable and easy. Lab work was poorly managed.,1,0,1,1,0,0
1079,Ms. Joshi,Physics,Good teaching methods and examples.,1,0,0,0,0,0
1080,Mr. Sharma,Chemistry,We faced issues in accessing the digital library. The questions in the exam were tricky.,0,0,1,0,1,0
1081,Ms. Rani,Mathematics,Lab assistants were very helpful. Not many extracurricular activities were encouraged. The course covered all essential topics. The questions in the exam were tricky.,0,1,1,1,0,1
1082,Dr. Mehta,Computer Science,The reading space in the library is great.,0,0,0,0,1,0
1083,Prof. Khan,Chemistry,We faced issues in accessing the digital library. Lab assistants were very helpful.,0,0,0,1,1,0
1084,Mr. Sharma,Computer Science,Course material was relevant and engaging.,0,1,0,0,0,0
1085,Dr. Verma,English,Great support for extracurriculars. The teacher encouraged student interaction. Lab assistants were very helpful.,1,0,0,1,0,1
1086,Mr. Sharma,Computer Science,Course material was relevant and engaging.,0,1,0,0,0,0
1087,Mrs. Das,Mathematics,Great support for extracurriculars. Library was not maintained properly. We had hands-on experience every week. Evaluation was not up to the mark.,0,0,1,1,1,1
1088,Ms. Joshi,Mathematics,Library was not maintained properly. Good teaching methods and examples.,1,0,0,0,1,0
1089,Ms. Joshi,Computer Science,Exam patterns were predictable and easy.,0,0,1,0,0,0
1090,Ms. Joshi,Biology,Lab work was poorly managed.,0,0,0,1,0,0
1091,Ms. Joshi,Chemistry,Lab sessions helped reinforce theory. Not many extracurricular activities were encouraged. The teacher encouraged student interaction. Library had enough resources.,1,0,0,1,1,1
1092,Prof. Khan,English,Student clubs were very active. The learning resources were very helpful.,0,1,0,0,0,1
1093,Dr. Verma,English,Content was outdated. Not many extracurricular activities were encouraged. The teacher encouraged student interaction.,1,1,0,0,0,1
1094,Ms. Rani,History,Good teaching methods and examples. We faced issues in accessing the digital library. Loved the cultural and sports events.,1,0,0,0,1,1
1095,Ms. Rani,Economics,The teacher was very supportive and helpful. Exams were fair and well-balanced. Library had enough resources. Not many extracurricular activities were encouraged.,1,0,1,0,1,1
1096,Mr. Sharma,Economics,The course covered all essential topics. Loved the cultural and sports events.,0,1,0,0,0,1
1097,Dr. Verma,Mathematics,The reading space in the library is great. The learning resources were very helpful.,0,1,0,0,1,0
1098,Prof. Khan,English,Content was outdated. New books were regularly added. Evaluation was not up to the mark.,0,1,1,0,1,0
1099,Prof. Khan,Chemistry,New books were regularly added. Evaluation was not up to the mark.,0,0,1,0,1,0
1100,Mrs. Das,Mathematics,Labs were well-equipped and interesting. The teacher encouraged student interaction.,1,0,0,1,0,0
1101,Prof. Khan,Chemistry,Exams were fair and well-balanced. The reading space in the library is great. The learning resources were very helpful.,0,1,1,0,1,0
1102,Ms. Rani,Economics,We had hands-on experience every week.,0,0,0,1,0,0
1103,Prof. Khan,History,Exam patterns were predictable and easy. The teacher explains very clearly. Course material was relevant and engaging. There were lots of workshops and events.,1,1,1,0,0,1
1104,Dr. Verma,Computer Science,Course material was relevant and engaging. Not many extracurricular activities were encouraged. Exams were fair and well-balanced. Lab assistants were very helpful.,0,1,1,1,0,1
1105,Dr. Verma,Economics,There were lots of workshops and events. Exam patterns were predictable and easy.,0,0,1,0,0,1
1106,Prof. Khan,Chemistry,The course covered all essential topics. There were lots of workshops and events. The teacher encouraged student interaction.,1,1,0,0,0,1
1107,Mr. Iyer,English,We faced issues in accessing the digital library.,0,0,0,0,1,0
1108,Ms. Rani,Mathematics,Not many extracurricular activities were encouraged. The reading space in the library is great.,0,0,0,0,1,1
1109,Mrs. Das,Chemistry,Course material was relevant and engaging. The teacher explains very clearly. We had hands-on experience every week.,1,1,0,1,0,0
1110,Dr. Verma,History,The teacher encouraged student interaction. Not many extracurricular activities were encouraged. The course covered all essential topics.,1,1,0,0,0,1
1111,Dr. Mehta,English,There were lots of workshops and events. Exams were fair and well-balanced. The reading space in the library is great.,0,0,1,0,1,1
1112,Mr. Iyer,Computer Science,Lab work was poorly managed. Evaluation was not up to the mark.,0,0,1,1,0,0
1113,Ms. Rani,History,Labs were well-equipped and interesting. The syllabus was well-structured.,0,1,0,1,0,0
1114,Mr. Sharma,English,Exams were fair and well-balanced.,0,0,1,0,0,0
1115,Mr. Sharma,Chemistry,Exams were fair and well-balanced. New books were regularly added. Labs were well-equipped and interesting.,0,0,1,1,1,0
1116,Ms. Rani,English,Content was outdated. Labs were well-equipped and interesting.,0,1,0,1,0,0
1117,Ms. Joshi,Economics,We faced issues in accessing the digital library. Student clubs were very active. The syllabus was well-structured.,0,1,0,0,1,1
1118,Ms. Rani,Mathematics,There were lots of workshops and events.,0,0,0,0,0,1
1119,Mrs. Das,Economics,Library was not maintained properly. Continuous assessment was beneficial.,0,0,1,0,1,0
1120,Mr. Sharma,Physics,The questions in the exam were tricky. Loved the cultural and sports events.,0,0,1,0,0,1
1121,Ms. Joshi,English,Lab work was poorly managed. Good teaching methods and examples. New books were regularly added.,1,0,0,1,1,0
1122,Mr. Sharma,Mathematics,The learning resources were very helpful. The teacher explains very clearly. Exams were fair and well-balanced.,1,1,1,0,0,0
1123,Dr. Verma,English,The reading space in the library is great. We had hands-on experience every week.,0,0,0,1,1,0
1124,Dr. Mehta,Physics,The teacher was very supportive and helpful. Library was not maintained properly. Evaluation was not up to the mark.,1,0,1,0,1,0
1125,Ms. Rani,Physics,The course covered all essential topics. The concepts were explained in a student-friendly way. Lab assistants were very helpful.,1,1,0,1,0,0
1126,Mr. Iyer,History,Labs were well-equipped and interesting. Not many extracurricular activities were encouraged. The course covered all essential topics.,0,1,0,1,0,1
1127,Mr. Sharma,Computer Science,Exams were fair and well-balanced.,0,0,1,0,0,0
1128,Dr. Mehta,Biology,Content was outdated.,0,1,0,0,0,0
1129,Mrs. Das,Economics,Library was not maintained properly. Lab assistants were very helpful. Content was outdated. Continuous assessment was beneficial.,0,1,1,1,1,0
1130,Ms. Rani,Chemistry,The reading space in the library is great. Great support for extracurriculars.,0,0,0,0,1,1
1131,Dr. Mehta,Mathematics,New books were regularly added.,0,0,0,0,1,0
1132,Mr. Sharma,Biology,Continuous assessment was beneficial. The course covered all essential topics. Good teaching methods and examples.,1,1,1,0,0,0
1133,Mr. Iyer,Biology,The syllabus was well-structured.,0,1,0,0,0,0
1134,Dr. Verma,English,Not many extracurricular activities were encouraged.,0,0,0,0,0,1
1135,Mr. Iyer,Physics,New books were regularly added. Exams were fair and well-balanced.,0,0,1,0,1,0
1136,Prof. Khan,Computer Science,The syllabus was well-structured. Continuous assessment was beneficial. Lab sessions helped reinforce theory.,0,1,1,1,0,0
1137,Ms. Joshi,Chemistry,Exams were fair and well-balanced.,0,0,1,0,0,0
1138,Mr. Iyer,Physics,We had hands-on experience every week.,0,0,0,1,0,0
1139,Mr. Sharma,Mathematics,We had hands-on experience every week. Loved the cultural and sports events. The course covered all essential topics.,0,1,0,1,0,1
1140,Ms. Rani,Computer Science,Library had enough resources. There were lots of workshops and events.,0,0,0,0,1,1
1141,Ms. Joshi,Economics,Not many extracurricular activities were encouraged. Library was not maintained properly.,0,0,0,0,1,1
1142,Mrs. Das,History,Labs were well-equipped and interesting. The concepts were explained in a student-friendly way. Not many extracurricular activities were encouraged. Exams were fair and well-balanced.,1,0,1,1,0,1
1143,Prof. Khan,Computer Science,Course material was relevant and engaging.,0,1,0,0,0,0
1144,Dr. Mehta,Physics,We had hands-on experience every week.,0,0,0,1,0,0
1145,Mr. Sharma,Physics,Exam patterns were predictable and easy. The course covered all essential topics. Lab work was poorly managed. Great support for extracurriculars.,0,1,1,1,0,1
1146,Dr. Mehta,History,Lab sessions helped reinforce theory. Content was outdated. Exam patterns were predictable and easy.,0,1,1,1,0,0
1147,Prof. Khan,English,Loved the cultural and sports events. Evaluation was not up to the mark. We faced issues in accessing the digital library. The teacher encouraged student interaction.,1,0,1,0,1,1
1148,Ms. Rani,Computer Science,We had hands-on experience every week. The course covered all essential topics. The questions in the exam were tricky. The reading space in the library is great.,0,1,1,1,1,0
1149,Mrs. Das,History,Exams were fair and well-balanced. Course material was relevant and engaging. There were lots of workshops and events.,0,1,1,0,0,1
1150,Dr. Verma,History,The questions in the exam were tricky. Not many extracurricular activities were encouraged. The syllabus was well-structured.,0,1,1,0,0,1
1151,Ms. Joshi,Chemistry,The syllabus was well-structured. The questions in the exam were tricky. Lab work was poorly managed. Library had enough resources.,0,1,1,1,1,0
1152,Ms. Rani,Biology,The questions in the exam were tricky. Library had enough resources.,0,0,1,0,1,0
1153,Prof. Khan,Chemistry,The teacher was very supportive and helpful. Lab work was poorly managed. Student clubs were very active. The learning resources were very helpful.,1,1,0,1,0,1
1154,Mr. Sharma,English,Labs were well-equipped and interesting.,0,0,0,1,0,0
1155,Mr. Sharma,Biology,We had hands-on experience every week. The teacher explains very clearly. Continuous assessment was beneficial.,1,0,1,1,0,0
1156,Mr. Sharma,History,Content was outdated.,0,1,0,0,0,0
1157,Mrs. Das,History,Evaluation was not up to the mark. We faced issues in accessing the digital library. Loved the cultural and sports events.,0,0,1,0,1,1
1158,Ms. Rani,Mathematics,The syllabus was well-structured. Exam patterns were predictable and easy. Student clubs were very active.,0,1,1,0,0,1
1159,Dr. Mehta,Biology,Continuous assessment was beneficial. The syllabus was well-structured. Lab sessions helped reinforce theory. The teacher encouraged student interaction.,1,1,1,1,0,0
1160,Ms. Joshi,English,The syllabus was well-structured. Great support for extracurriculars. Lab sessions helped reinforce theory.,0,1,0,1,0,1
1161,Mr. Sharma,English,Labs were well-equipped and interesting.,0,0,0,1,0,0
1162,Dr. Mehta,History,The questions in the exam were tricky. The learning resources were very helpful. Labs were well-equipped and interesting.,0,1,1,1,0,0
1163,Prof. Khan,Economics,Lab work was poorly managed. Exam patterns were predictable and easy.,0,0,1,1,0,0
1164,Dr. Mehta,Biology,Evaluation was not up to the mark. Library had enough resources. Loved the cultural and sports events. Good teaching methods and examples.,1,0,1,0,1,1
1165,Dr. Mehta,History,Great support for extracurriculars. Course material was relevant and engaging.,0,1,0,0,0,1
1166,Mr. Iyer,Mathematics,Not many extracurricular activities were encouraged. The questions in the exam were tricky.,0,0,1,0,0,1
1167,Dr. Verma,English,Library had enough resources. Exams were fair and well-balanced.,0,0,1,0,1,0
1168,Ms. Joshi,Physics,The syllabus was well-structured. We faced issues in accessing the digital library. Loved the cultural and sports events.,0,1,0,0,1,1
1169,Ms. Rani,Mathematics,The teacher encouraged student interaction. Exams were fair and well-balanced. The learning resources were very helpful.,1,1,1,0,0,0
1170,Mr. Iyer,English,Loved the cultural and sports events. The concepts were explained in a student-friendly way.,1,0,0,0,0,1
1171,Mr. Iyer,Mathematics,The learning resources were very helpful. Great support for extracurriculars. Continuous assessment was beneficial.,0,1,1,0,0,1
1172,Mrs. Das,Economics,Labs were well-equipped and interesting.,0,0,0,1,0,0
1173,Mrs. Das,English,The course covered all essential topics. Student clubs were very active.,0,1,0,0,0,1
1174,Ms. Rani,Mathematics,Loved the cultural and sports events. Lab assistants were very helpful. Exams were fair and well-balanced. New books were regularly added.,0,0,1,1,1,1
1175,Dr. Verma,Physics,Good teaching methods and examples. Lab sessions helped reinforce theory. Exam patterns were predictable and easy.,1,0,1,1,0,0
1176,Ms. Rani,Physics,Evaluation was not up to the mark. The syllabus was well-structured. There were lots of workshops and events. We had hands-on experience every week.,0,1,1,1,0,1
1177,Ms. Rani,Economics,Good teaching methods and examples. Evaluation was not up to the mark. Labs were well-equipped and interesting.,1,0,1,1,0,0
1178,Dr. Mehta,Economics,Course material was relevant and engaging.,0,1,0,0,0,0
1179,Dr. Verma,History,The learning resources were very helpful.,0,1,0,0,0,0
1180,Prof. Khan,Physics,Evaluation was not up to the mark. Not many extracurricular activities were encouraged.,0,0,1,0,0,1
1181,Mr. Sharma,Mathematics,Labs were well-equipped and interesting. We faced issues in accessing the digital library. The questions in the exam were tricky. Loved the cultural and sports events.,0,0,1,1,1,1
1182,Dr. Mehta,English,Library was not maintained properly.,0,0,0,0,1,0
1183,Ms. Joshi,Economics,The teacher was very supportive and helpful.,1,0,0,0,0,0
1184,Ms. Joshi,English,Great support for extracurriculars. Library was not maintained properly. The teacher explains very clearly. The questions in the exam were tricky.,1,0,1,0,1,1
1185,Ms. Joshi,Mathematics,Library was not maintained properly.,0,0,0,0,1,0
1186,Mrs. Das,Biology,The teacher explains very clearly.,1,0,0,0,0,0
1187,Mrs. Das,Computer Science,Loved the cultural and sports events. Continuous assessment was beneficial.,0,0,1,0,0,1
1188,Dr. Verma,English,Lab assistants were very helpful.,0,0,0,1,0,0
1189,Dr. Mehta,Economics,Lab work was poorly managed. We faced issues in accessing the digital library. There were lots of workshops and events. The concepts were explained in a student-friendly way.,1,0,0,1,1,1
1190,Dr. Verma,History,Exams were fair and well-balanced. The reading space in the library is great. Great support for extracurriculars. Lab sessions helped reinforce theory.,0,0,1,1,1,1
1191,Ms. Rani,Physics,The teacher encouraged student interaction. Not many extracurricular activities were encouraged.,1,0,0,0,0,1
1192,Ms. Joshi,English,Exam patterns were predictable and easy.,0,0,1,0,0,0
1193,Ms. Rani,Computer Science,Good teaching methods and examples.,1,0,0,0,0,0
1194,Dr. Verma,History,The course covered all essential topics.,0,1,0,0,0,0
1195,Mr. Sharma,Chemistry,Exams were fair and well-balanced. Loved the cultural and sports events. Library was not maintained properly.,0,0,1,0,1,1
1196,Mrs. Das,Physics,Labs were well-equipped and interesting.,0,0,0,1,0,0
1197,Ms. Joshi,Chemistry,Loved the cultural and sports events. The concepts were explained in a student-friendly way. Lab assistants were very helpful. Course material was relevant and engaging.,1,1,0,1,0,1
1198,Mr. Sharma,English,The teacher was very supportive and helpful. Student clubs were very active. The syllabus was well-structured.,1,1,0,0,0,1
1199,Dr. Verma,Economics,The syllabus was well-structured. Loved the cultural and sports events.,0,1,0,0,0,1
1200,Mr. Iyer,Physics,Student clubs were very active. Exam patterns were predictable and easy. Lab work was poorly managed.,0,0,1,1,0,1
1201,Dr. Verma,English,The concepts were explained in a student-friendly way. Exams were fair and well-balanced.,1,0,1,0,0,0
1202,Prof. Khan,Economics,Loved the cultural and sports events. The teacher encouraged student interaction. Lab sessions helped reinforce theory.,1,0,0,1,0,1
1203,Ms. Rani,Biology,Exam patterns were predictable and easy. The learning resources were very helpful.,0,1,1,0,0,0
1204,Dr. Mehta,Physics,We faced issues in accessing the digital library.,0,0,0,0,1,0
1205,Dr. Mehta,Mathematics,The teacher encouraged student interaction. Not many extracurricular activities were encouraged.,1,0,0,0,0,1
1206,Ms. Joshi,English,Lab work was poorly managed. Exam patterns were predictable and easy. There were lots of workshops and events. Course material was relevant and engaging.,0,1,1,1,0,1
1207,Ms. Rani,English,Course material was relevant and engaging.,0,1,0,0,0,0
1208,Dr. Verma,Chemistry,Library had enough resources. The teacher explains very clearly. Exams were fair and well-balanced.,1,0,1,0,1,0
1209,Dr. Verma,History,Loved the cultural and sports events. Good teaching methods and examples. New books were regularly added. Lab assistants were very helpful.,1,0,0,1,1,1
1210,Mr. Sharma,Computer Science,Good teaching methods and examples.,1,0,0,0,0,0
1211,Dr. Mehta,History,Content was outdated. Not many extracurricular activities were encouraged. The teacher explains very clearly.,1,1,0,0,0,1
1212,Mr. Sharma,Computer Science,Course material was relevant and engaging. The questions in the exam were tricky.,0,1,1,0,0,0
1213,Prof. Khan,Mathematics,The learning resources were very helpful.,0,1,0,0,0,0
1214,Mr. Iyer,Mathematics,Library had enough resources.,0,0,0,0,1,0
1215,Mr. Sharma,Biology,Course material was relevant and engaging. Library had enough resources.,0,1,0,0,1,0
1216,Ms. Rani,Chemistry,Loved the cultural and sports events. Lab work was poorly managed. The syllabus was well-structured. The teacher explains very clearly.,1,1,0,1,0,1
1217,Mr. Iyer,Economics,Student clubs were very active. Content was outdated. We had hands-on experience every week. The teacher encouraged student interaction.,1,1,0,1,0,1
1218,Mr. Iyer,Mathematics,Loved the cultural and sports events. We had hands-on experience every week.,0,0,0,1,0,1
1219,Prof. Khan,English,Good teaching methods and examples. Exams were fair and well-balanced. Labs were well-equipped and interesting. Student clubs were very active.,1,0,1,1,0,1
1220,Ms. Rani,Physics,Student clubs were very active. The course covered all essential topics. Evaluation was not up to the mark.,0,1,1,0,0,1
1221,Dr. Mehta,Chemistry,The reading space in the library is great. Evaluation was not up to the mark. There were lots of workshops and events.,0,0,1,0,1,1
1222,Dr. Mehta,Computer Science,We had hands-on experience every week. Exam patterns were predictable and easy. New books were regularly added. Content was outdated.,0,1,1,1,1,0
1223,Mr. Iyer,Economics,The teacher explains very clearly. The reading space in the library is great. Student clubs were very active.,1,0,0,0,1,1
1224,Mrs. Das,Chemistry,Library was not maintained properly. Course material was relevant and engaging.,0,1,0,0,1,0
1225,Dr. Verma,Computer Science,Content was outdated. Lab work was poorly managed.,0,1,0,1,0,0
1226,Prof. Khan,Computer Science,The learning resources were very helpful.,0,1,0,0,0,0
1227,Ms. Joshi,Biology,Lab work was poorly managed. Exams were fair and well-balanced. New books were regularly added. Not many extracurricular activities were encouraged.,0,0,1,1,1,1
1228,Dr. Verma,Chemistry,The reading space in the library is great. Lab sessions helped reinforce theory. There were lots of workshops and events. The teacher was very supportive and helpful.,1,0,0,1,1,1
1229,Dr. Verma,Mathematics,New books were regularly added. Lab assistants were very helpful. Not many extracurricular activities were encouraged. The learning resources were very helpful.,0,1,0,1,1,1
1230,Mrs. Das,Computer Science,Lab sessions helped reinforce theory. Good teaching methods and examples. Student clubs were very active.,1,0,0,1,0,1
1231,Dr. Mehta,Computer Science,Loved the cultural and sports events. Lab assistants were very helpful. Library was not maintained properly. The learning resources were very helpful.,0,1,0,1,1,1
1232,Mr. Sharma,Computer Science,Loved the cultural and sports events. Continuous assessment was beneficial. Library had enough resources. The concepts were explained in a student-friendly way.,1,0,1,0,1,1
1233,Ms. Joshi,English,Lab assistants were very helpful. The course covered all essential topics. We faced issues in accessing the digital library. The teacher was very supportive and helpful.,1,1,0,1,1,0
1234,Mrs. Das,History,Library was not maintained properly. The course covered all essential topics. The teacher was very supportive and helpful.,1,1,0,0,1,0
1235,Mrs. Das,Physics,Loved the cultural and sports events.,0,0,0,0,0,1
1236,Mr. Iyer,Biology,Library had enough resources.,0,0,0,0,1,0
1237,Prof. Khan,Chemistry,Lab assistants were very helpful. There were lots of workshops and events. The syllabus was well-structured. Exam patterns were predictable and easy.,0,1,1,1,0,1
1238,Dr. Verma,Biology,Lab work was poorly managed. New books were regularly added. The learning resources were very helpful. Good teaching methods and examples.,1,1,0,1,1,0
1239,Ms. Joshi,Computer Science,Lab assistants were very helpful. There were lots of workshops and events.,0,0,0,1,0,1
1240,Mrs. Das,Computer Science,The teacher was very supportive and helpful. The reading space in the library is great.,1,0,0,0,1,0
1241,Mrs. Das,Biology,Lab assistants were very helpful. The reading space in the library is great.,0,0,0,1,1,0
1242,Dr. Verma,Computer Science,There were lots of workshops and events.,0,0,0,0,0,1
1243,Dr. Mehta,Computer Science,Great support for extracurriculars. Exam patterns were predictable and easy. The teacher encouraged student interaction.,1,0,1,0,0,1
1244,Dr. Verma,Chemistry,We faced issues in accessing the digital library. Exams were fair and well-balanced. Great support for extracurriculars. The learning resources were very helpful.,0,1,1,0,1,1
1245,Mr. Iyer,Biology,Student clubs were very active.,0,0,0,0,0,1
1246,Dr. Mehta,Physics,Labs were well-equipped and interesting. We faced issues in accessing the digital library.,0,0,0,1,1,0
1247,Dr. Mehta,English,Evaluation was not up to the mark.,0,0,1,0,0,0
